0,input/Covid_Australia.fasta
1,input/Covid_Brazil.fasta
2,input/Covid_India.fasta
3,input/Covid_USA-CA4.fasta
4,input/Covid_Wuhan.fasta
5,input/MERS_2012_KF600620.fasta
6,input/MERS_2014_KY581694.fasta
7,input/MERS_2014_USA_KP223131.fasta
8,input/SARS_2003_GU553363.fasta
9,input/SARS_2017_MK062179.fasta

,0,1,2,3,4,5,6,7,8,9,
0,0,0.311885,0.21057,0.321654,0.470914,0.1073,0.106372,0.0975797,0.0995178,0.0991829,
1,0.311885,0,0.2423,0.309807,0.399601,0.0990184,0.0977946,0.0964684,0.100045,0.100039,
2,0.21057,0.2423,0,0.28331,0.306816,0.108167,0.0942924,0.0973239,0.0996407,0.0995179,
3,0.321654,0.309807,0.28331,0,0.830153,0.0974604,0.0887033,0.0994731,0.100313,0.096998,
4,0.470914,0.399601,0.306816,0.830153,0,0.0982933,0.100056,0.0998892,0.0992707,0.0954029,
5,0.1073,0.0990184,0.108167,0.0974604,0.0982933,0,0.151226,0.160698,0.091421,0.0899271,
6,0.106372,0.0977946,0.0942924,0.0887033,0.100056,0.151226,0,0.14259,0.095318,0.0920848,
7,0.0975797,0.0964684,0.0973239,0.0994731,0.0998892,0.160698,0.14259,0,0.10007,0.100372,
8,0.0995178,0.100045,0.0996407,0.100313,0.0992707,0.091421,0.095318,0.10007,0,0.276446,
9,0.0991829,0.100039,0.0995179,0.096998,0.0954029,0.0899271,0.0920848,0.100372,0.276446,0,


,0,1,2,3,4,5,6,7,8,9,
0,0,19.7261,15.4298,8.00636,8.8147,38.5719,37.0011,37.2244,33.632,33.6877,
1,19.7261,0,27.393,25.7249,26.9696,36.9847,36.984,37.365,33.6708,33.4893,
2,15.4298,27.393,0,20.8665,21.551,36.9239,36.8369,35.4905,33.6734,33.5409,
3,8.00636,25.7249,20.8665,0,1.95212,36.7099,36.5374,37.2061,32.2392,33.8208,
4,8.8147,26.9696,21.551,1.95212,0,36.7899,36.05,36.8995,33.062,32.2526,
5,38.5719,36.9847,36.9239,36.7099,36.7899,0,27.8841,34.4516,35.0072,34.6381,
6,37.0011,36.984,36.8369,36.5374,36.05,27.8841,0,27.6984,34.0434,35.2356,
7,37.2244,37.365,35.4905,37.2061,36.8995,34.4516,27.6984,0,35.8811,33.8276,
8,33.632,33.6708,33.6734,32.2392,33.062,35.0072,34.0434,35.8811,0,34.8152,
9,33.6877,33.4893,33.5409,33.8208,32.2526,34.6381,35.2356,33.8276,34.8152,0,

