0,input/Covid_Australia.fasta
1,input/Covid_Brazil.fasta
2,input/Covid_India.fasta
3,input/Covid_USA-CA4.fasta
4,input/Covid_Wuhan.fasta
5,input/MERS_2012_KF600620.fasta
6,input/MERS_2014_KY581694.fasta
7,input/MERS_2014_USA_KP223131.fasta
8,input/SARS_2003_GU553363.fasta
9,input/SARS_2017_MK062179.fasta

,0,1,2,3,4,5,6,7,8,9,
0,29893,11082,7961,13980,19064,23,23,23,104,104,
1,11082,29876,4620,8896,11082,23,23,23,104,104,
2,7961,4620,29854,7961,7961,23,23,23,104,104,
3,13980,8896,7961,29882,23769,23,23,23,104,104,
4,19064,11082,7961,23769,29903,23,23,23,104,104,
5,23,23,23,23,23,30055,2890,3182,20,20,
6,23,23,23,23,23,2890,30123,3094,20,20,
7,23,23,23,23,23,3182,3094,30123,20,20,
8,104,104,104,104,104,20,20,20,29644,7878,
9,104,104,104,104,104,20,20,20,7878,29727,
